,Start,Noun modifier,Noun,Unreduced content,Ambiguous verb,Unambiguous verb,RC contents,RC extra contents pre by-phrase,RC by-phrase,RC extra contents post by-phrase,Disambiguator,End
0,The,awkward,professor,who was,taught,given,a dancing lesson,,by the experienced instructor,,shared,the video . <eos>
1,The,overweight,customer,who was,allowed,forbidden,the pleasure of eating sweets,,by his doctor,,became,much healthier . <eos>
2,The,aggressive,player,who was,tossed,thrown,a frisbee,,by the opposing team,,scored,a goal . <eos>
3,The,elderly,woman,who was,offered,given,a beer,,by the hostess,,forgot,to leave a tip . <eos>
4,The,experienced,waiter,who was,served,given,pea soup,,by a trainee,,felt,let down . <eos>
5,The,intelligent,man,who was,rented,shown,an apartment,,by his uncle,,made,an offer . <eos>
6,The,thin,woman,who was,knitted,woven,a shawl,,by her mother,,wore,it to the wedding . <eos>
7,The,stubborn,sergeant,who was,presented,shown,a list of charges,,by the judge,,failed,to appear . <eos>
8,The,lazy,congressman,who was,mailed,written,a letter,,by the CEO,,won,the election . <eos>
9,The,popular,athlete,who was,hurled,thrown,a pass,,by the quarterback,,fell,on the ground . <eos>
